ชื่อ,คำอ่าน,ความหมาย
กงศร,กง-สอน,ผู้มีคุณค่าและความมุ่งมั่น
กฉิน,กะ-ฉิน,ผู้มีความสร้างสรรค์
กชลา,กด-ชะ-ลา,ผู้ละมุนงดงามดุจดอกบัว
กฌิน,กิน,ผู้มีความรอบรู้
กฐิน,กะ-ถิน,ผู้มีบุญกุศลและศรัทธา
กณพ,กะ-นบ,ผู้มีความงามละเอียดประณีตผ่องใส
กณิกนันต์,กะ-นิก-กะ-นัน,ผู้ยินดีในสิ่งเล็กน้อยอันงดงาม
กณิน,กะ-นิน,ผู้มีคุณค่าและปัญญา
กณิศ,กะ-นิด,ผู้เป็นใหญ่ในหมู่ชน
กณิษฐ์,กะ-นิด,ผู้มีความอ่อนเยาว์และความรัก
กณิษฐา,กะ-นิด-ถา,น้องหญิงหรือสตรีผู้อ่อนเยาว์น่ารัก
กตมน,กะ-ตะ-มน,ผู้มีจิตใจที่สำเร็จแล้ว
กนก,กะ-หนก,ทองคำ ผู้มีคุณค่าสูงส่งดุจทอง
กนกโกมล,กะ-หนก-โก-มน,ผู้มีจิตใจอ่อนโยนและมีค่าดุจทองคำ
กนกจันทร์,กะ-หนก-จัน,ผู้มีความงามละมุนดุจแสงจันทร์และล้ำค่าดุจทอง
กนกณัฐ,กะ-หนก-นัด,นักปราชญ์ผู้ล้ำค่าดุจทองคำ
กนกณิชรัญชน์,กะ-หนก-นิ-ชะ-รัน,ผู้มีคุณค่า ความมั่งคั่ง และความบริสุทธิ์
กนกธร,กะ-หนก-ทอน,ผู้มีคุณค่า
กนกนภัทร,กะ-หนก-นะ-พัด,ผู้ประเสริฐสูงส่งและล้ำค่าดุจทอง
กนกนภัส,กะ-หนก-นะ-พัด,ผู้เปล่งประกายงดงามดุจทองบนฟากฟ้า
กนกนรี,กะ-หนก-นะ-รี,สตรีผู้มีคุณค่างดงามดุจทองคำ
กนกรัตน์,กะ-หนก-รัด,ผู้มีคุณค่า ความมั่งคั่ง และความงดงาม
กนกริน,กะ-หนก-ริน,ผู้ไหลรินด้วยคุณค่าและความงดงามดุจทอง
กนกรินทร์,กะ-หนก-ริน,ผู้เป็นใหญ่และล้ำค่าดุจทองคำ
กนกลด,กะ-หนก-ลด,ผู้มีความงามอ่อนช้อยและล้ำค่าดุจทอง
กนกลักษณ์,กะ-หนก-ลัก,ผู้มีคุณค่า ความมั่งคั่ง และความงดงาม
กนกวร,กะ-หนก-วอน,ผู้ประเสริฐและล้ำค่าดุจทองคำ
กนกวรรณ,กะ-หนก-วัน,ผู้มีผิวพรรณงดงามดุจทองคำ
กนกวรรณ์,กะ-หนก-วัน,ผู้มีวรรณะงดงามและมีคุณค่าดุจทอง
กนกวิช,กะ-หนก-วิด,ผู้มีความรู้ล้ำค่าดุจทองคำ
กนกอมรศิลป์,กะ-หนก-อะ-มอน-สิน,ผู้มีศิลปะงดงามอมตะและล้ำค่าดุจทอง
กนกอร,กะ-หนก-ออน,หญิงงามผู้มีคุณค่าดุจทองคำ
กนกอินทร์,กะ-หนก-อิน,ผู้สูงส่งเป็นใหญ่และล้ำค่าดุจทอง
กนต์ธีร์,กน-ที,ผู้เป็นที่รักและมีปัญญามั่นคง
กนต์พงษ์,กน-พง,ผู้มีความรัก
กนต์ภัทร,กน-พัด,ผู้เป็นที่รักและมีความเจริญเป็นมงคล
กนต์ลักษณ์,กะ-นะ-ลัก,ผู้มีลักษณะงดงามเป็นที่รัก
กนต์วรรณ,กน-ตะ-วัน,ผู้มีผิวพรรณงดงามเป็นที่รัก
กนต์วริน,กน-วะ-ริน,ผู้ประเสริฐและเป็นที่รักดุจสายน้ำแห่งความดี
กนต์วิน,กน-วิน,ผู้เป็นที่รักและมีชัยชนะ
กนต์ษร,กน-สอน,ผู้เป็นที่รักดุจอักษรอันงดงาม
กนต์อร,กน-ออน,หญิงงามผู้เป็นที่รัก
กนธี,กน-ที,ผู้มีความอ่อนโยนและปัญญามั่นคง
กนล,กะ-นน,ผู้มีความอ่อนโยนและความละมุน
กนิญา,กะ-นิ-ยา,หญิงสาวผู้น่ารักและอ่อนโยน
กนิน,กะ-นิน,ผู้เป็นที่รักในหมู่ชน
กนิศ,กะ-นิด,ผู้เป็นใหญ่และเป็นที่นับถือ
กนิษฐ์,กะ-นิด,ผู้มีความอ่อนเยาว์
กนิษฐา,กะ-นิด-ถา,ผู้มีความอ่อนเยาว์
กมน,กะ-มน,ผู้มีจิตใจงดงาม
กมนทัต,กะ-มน-ทัด,จิตใจ
กมนธนัท,กะ-มน-ทะ-นัด,ผู้มีใจงามและมั่งคั่งด้วยปัญญา
กมนลักษณ์,กะ-มน-ลัก,ผู้มีจิตใจและลักษณะงดงาม
กมนวรรณ,กะ-มน-วัน,ผู้มีใจงามและวรรณะผ่องใส
กมล,กะ-มน,ดอกบัวหรือดวงใจ ผู้มีจิตใจบริสุทธิ์งดงาม
กมลกนก,กะ-มน-กะ-หนก,ดวงใจงดงามและล้ำค่าดุจทอง
กมลกร,กะ-มน-กอน,ผู้สร้างสรรค์ความดีด้วยหัวใจงดงาม
กมลขัณฑ์,กะ-มน-ละ-ขัน,ผู้มีใจงดงามดุจส่วนอันประเสริฐ
กมลฉนันท์,กะ-มน-ฉะ-หนัน,ผู้มีใจงามและเปี่ยมความพอใจในความดี
กมลฉันท์,กะ-มน-ฉัน,ผู้มีความบริสุทธิ์และความงดงาม
กมลฌาน,กะ-มน-ชาน,ผู้มีใจสงบลึกซึ้งในสมาธิ
กมลณพัฒน์,กะ-มน-นะ-พัด,ผู้มีความบริสุทธิ์ ความงดงาม และความเจริญ
