ชื่อมงคล,ความหมาย
กงศร,"กง (จาก บาลี 'กํส', สันสกฤต 'กงฺส' หมายถึง โลหะมีค่า เช่น สัมฤทธิ์) + ศร (จาก บาลี 'สร', สันสกฤต 'ศร' หมายถึง ลูกศร, ความมุ่งมั่น) = ลูกศรที่ทำจากโลหะมีค่า, ผู้มีความมุ่งมั่นและมีคุณค่า"
กฉิน,
กชลา,ผู้ละมุนงดงามดุจดอกบัว
กฌิน,
กฐิน,ผ้ากฐินหรือพิธีทอดกฐิน อันเกี่ยวเนื่องกับบุญกุศลและศรัทธา
กณพ,"กณพ (จากรากศัพท์ บาลี-สันสกฤต 'กณ' kaṇa หมายถึง เม็ดเล็ก, ละเอียด, ประณีต) = ผู้มีความงามละเอียดประณีตผ่องใส"
กณิกนันต์,ผู้ยินดีในสิ่งเล็กน้อยอันงดงาม
กณิน,
กณิศ,ผู้เป็นใหญ่ในหมู่ชน
กณิษฐ์,ผู้น้อยอันเป็นที่รัก หรือผู้มีความอ่อนเยาว์น่าทะนุถนอม
กณิษฐา,น้องหญิงหรือสตรีผู้อ่อนเยาว์น่ารัก
กตมน,"กต (จาก บาลี 'กต', สันสกฤต 'กฤต' หมายถึง ที่ทำแล้ว, สำเร็จแล้ว) + มน (จาก บาลี 'มน', สันสกฤต 'มนสฺ' หมายถึง ใจ, จิตใจ) = ผู้มีจิตใจที่สำเร็จแล้ว, มีใจที่สมบูรณ์พร้อมด้วยคุณธรรม"
กนก,ทองคำ ผู้มีคุณค่าสูงส่งดุจทอง
กนกโกมล,ผู้มีจิตใจอ่อนโยนและมีค่าดุจทองคำ
กนกจันทร์,ผู้มีความงามละมุนดุจแสงจันทร์และล้ำค่าดุจทอง
กนกณัฐ,นักปราชญ์ผู้ล้ำค่าดุจทองคำ
กนกณิชรัญชน์,"กนก (จาก สันสกฤต 'กนก' หมายถึง ทองคำ) + ณิช (จาก สันสกฤต 'นิช' หมายถึง บริสุทธิ์, แท้จริง) + รัญชน์ (จาก สันสกฤต 'รญฺชนะ' หมายถึง ความยินดี, ความรัก) = ทองคำบริสุทธิ์ที่นำมาซึ่งความยินดีและความรัก, หรือผู้มีความรักความยินดีอันบริสุทธิ์ดุจทองคำ"
กนกธร,ผู้ดำรงไว้ซึ่งคุณค่าดุจทองคำ
กนกนภัทร,ผู้ประเสริฐสูงส่งและล้ำค่าดุจทอง
กนกนภัส,ผู้เปล่งประกายงดงามดุจทองบนฟากฟ้า
กนกนรี,สตรีผู้มีคุณค่างดงามดุจทองคำ
กนกรัตน์,"กนก (จาก สันสกฤต 'กนก' หมายถึง ทองคำ) + รัตน์ (จาก บาลี 'รตน', สันสกฤต 'รตน' หมายถึง แก้ว, ของมีค่า) = แก้วทองคำ, ของมีค่าอันประเสริฐดุจทองคำ"
กนกริน,ผู้ไหลรินด้วยคุณค่าและความงดงามดุจทอง
กนกรินทร์,ผู้เป็นใหญ่และล้ำค่าดุจทองคำ
กนกลด,ผู้มีความงามอ่อนช้อยและล้ำค่าดุจทอง
กนกลักษณ์,"กนก (จาก สันสกฤต 'กนก' หมายถึง ทองคำ) + ลักษณ์ (จาก บาลี 'ลักขณ', สันสกฤต 'ลกฺษณ' หมายถึง ลักษณะ, รูปสมบัติ, คุณสมบัติ) = ผู้มีลักษณะงดงามดุจทองคำ, มีคุณสมบัติอันมีค่าน่าชื่นชม"
กนกวร,ผู้ประเสริฐและล้ำค่าดุจทองคำ
กนกวรรณ,ผู้มีผิวพรรณงดงามดุจทองคำ
กนกวรรณ์,ผู้มีวรรณะงดงามและมีคุณค่าดุจทอง
กนกวิช,ผู้มีความรู้ล้ำค่าดุจทองคำ
กนกอมรศิลป์,ผู้มีศิลปะงดงามอมตะและล้ำค่าดุจทอง
กนกอร,หญิงงามผู้มีคุณค่าดุจทองคำ
กนกอินทร์,ผู้สูงส่งเป็นใหญ่และล้ำค่าดุจทอง
กนต์ธีร์,ผู้เป็นที่รักและมีปัญญามั่นคง
กนต์พงษ์,วงศ์ตระกูลอันเป็นที่รักและน่ายกย่อง
กนต์ภัทร,ผู้เป็นที่รักและมีความเจริญเป็นมงคล
กนต์ลักษณ์,ผู้มีลักษณะงดงามเป็นที่รัก
กนต์วรรณ,ผู้มีผิวพรรณงดงามเป็นที่รัก
กนต์วริน,ผู้ประเสริฐและเป็นที่รักดุจสายน้ำแห่งความดี
กนต์วิน,ผู้เป็นที่รักและมีชัยชนะ
กนต์ษร,ผู้เป็นที่รักดุจอักษรอันงดงาม
กนต์อร,หญิงงามผู้เป็นที่รัก
กนธี,ผู้มีความอ่อนโยนและปัญญามั่นคง
กนล,ผู้มีความอ่อนโยนและความละมุน
กนิญา,หญิงสาวผู้น่ารักและอ่อนโยน
กนิน,ผู้เป็นที่รักในหมู่ชน
กนิศ,ผู้เป็นใหญ่และเป็นที่นับถือ
กนิษฐ์,"กนิษฐ์ (จาก บาลี 'กนิฏฺฐ', สันสกฤต 'กนิษฐ' หมายถึง ผู้เล็กที่สุด, ผู้น้อยที่สุด, น้องชาย) = ผู้น้อยที่สุด, น้องชายผู้เป็นที่รัก"
กนิษฐา,"กนิษฐา (จาก บาลี 'กนิฏฺฐา', สันสกฤต 'กนิษฐา' หมายถึง ผู้เล็กที่สุด, ผู้น้อยที่สุด, น้องสาว) = ผู้น้อยที่สุด, น้องสาวผู้เป็นที่รัก"
กมน,ผู้มีจิตใจงดงาม
กมนทัต,"กมล (จาก บาลี 'กมล', สันสกฤต 'กมล' หมายถึง ใจ, บัว) + ทัต (จาก บาลี 'ทตฺต', สันสกฤต 'ทตฺต' หมายถึง ให้แล้ว, มอบให้แล้ว) = ใจที่ประทานมาให้, สิ่งที่ได้รับมาจากใจอันบริสุทธิ์"
กมนธนัท,ผู้มีใจงามและมั่งคั่งด้วยปัญญา
กมนลักษณ์,ผู้มีจิตใจและลักษณะงดงาม
กมนวรรณ,ผู้มีใจงามและวรรณะผ่องใส
กมล,ดอกบัวหรือดวงใจ ผู้มีจิตใจบริสุทธิ์งดงาม
กมลกนก,ดวงใจงดงามและล้ำค่าดุจทอง
กมลกร,ผู้สร้างสรรค์ความดีด้วยหัวใจงดงาม
กมลขัณฑ์,ผู้มีใจงดงามดุจส่วนอันประเสริฐ
กมลฉนันท์,ผู้มีใจงามและเปี่ยมความพอใจในความดี
กมลฉันท์,"กมล (จาก บาลี 'กมล', สันสกฤต 'กมล' หมายถึง ใจ, บัว) + ฉันท์ (จาก บาลี 'ฉนฺท', สันสกฤต 'ฉนฺท' หมายถึง ความพอใจ, ความยินดี) = ความพอใจแห่งใจ, ใจที่เปี่ยมด้วยความยินดี"
